id,pid,acronym,name,local name,keywords,website,lead organisation,additional organisations,description,contact email,type,type other,design,design description,design schematic,design schematic_filename,collection type,logo,logo_filename,number of participants,number of participants with samples,countries,regions,population age groups,inclusion criteria,other inclusion criteria,start year,end year,population disease,population oncology topology,population oncology morphology,prelinked,linkage possibility description,release type,release description,linkage options,data holder,data access conditions,data use conditions,data access conditions description,data access fee,design paper,publications,informed consent type,funding statement,acknowledgements,supplementary information
Scottish Human Papillomavirus Archive,21.12110/1.E726-F0AD-64DA,,Scottish Human Papillomavirus Archive,,,https://www.ed.ac.uk/pathology/research/scottish-hpv-archive,,,"The Scottish HPV Archive is a biorepository of samples that provides a vital resource for researchers to improve the way we detect and manage HPV associated disease.    The archive is housed within the Queen's Medical Research Institute, University of Edinburgh, and follows the governance policies of NHS Lothian for tissue collections and the bio-repository principles of the Lothian NRS Bioresource (SAHSC).    It currently holds over 40,000 samples, the majority of which are cervical liquid-based cytology (LBC) samples although derivatives thereof (including nucleic acid) and other anogenital sample types are also available. For most of the samples, aliquots are kept at different temperatures (-80˚C or -25˚C) and different volumes (original sample and concentrated aliquot).     The key attribute of the Scottish HPV archive is the annotation of samples with HPV and vaccination status as well as pathology information. Such linkage is possible in Scotland with the help of the Community Health Index (CHI), Scottish Cervical Call and Recall System (SCCRS) and Cancer Registry.",hpvarchive@ed.ac.uk,Biobank,,,,,,,,,,,United Kingdom of Great Britain and Northern Ireland (the),,,,,,,,,,,,,,,,,,,,,,,,,
Leeds NIHR Biomarker Research Tissue Bank,21.12110/1.3370-ED02-0268,,Leeds NIHR Biomarker Research Tissue Bank,,,http://multirtb.leeds.ac.uk/index.php/Biomarker,,,"Background:  The Leeds NIHR Biomarker Research Tissue Bank (RTB) is part of a National Institute for Health Research (NIHR) Programme Grants for Applied Research award, focused on biomarker evaluation in selected disease areas.  The RTB was established for the multicentre collection and storage of samples from patients with liver diseases recruited within a randomised controlled trial (ELUCIDATE) of a biomarker panel, renal cancer patients and patients undergoing kidney transplant.    The Leeds NIHR Biomarker RTB is jointly managed along with the Multidisciplinary RTB by the Joint RTB Management Committee. The Leeds NIHR Research Tissue Bank (RTB) was given favourable ethical opinion by the Leeds (East) Research Ethics Committee on 15th June 2010 (Current REC ref: 15/YH/0099).      Sample collections:  Over the duration of the programme, 2,116 participants were recruited in total with 5,976 samples. Sample collection has taken place in multiple centres in the UK. These comprise:    • 847 patients with liver disease each with a single serum samples   • 514 patients on the kidney transplant waiting list including 312 subsequently transplanted, with 3,806 samples, each sample including multiple aliquots of serum, plasma and urine  • 706 patients with suspected renal cancer (200 longitudinal and 506 cross-sectional)  with 1,132 samples, including multiple aliquots of serum, plasma, buffy coat and urine and an FFPE tissue block (frozen available in Leeds patients only)  • 149 healthy volunteers with 191 samples, each sample including multiple aliquots of serum, plasma and urine     All samples were collected according to SOPs and have been shipped from the participating sites and stored centrally in Leeds Biobanking and Sample Processing Facility.  Associated clinical data has been collected using standard study-specific case report forms (CRFs), including long-term follow-up in many cases.     Initially access to samples is prioritised for the needs of the Programme and investigators involved but additional collaborative access will then be possible. To find out further information please e-mail our Research Tissue Bank and Sample Processing Facility Manager, Pirkko-Liisa Muhonen at rtb@leeds.ac.uk.",rtb@leeds.ac.uk,Biobank,,,,,,,,,,,United Kingdom of Great Britain and Northern Ireland (the),,,,,,,,,,,,,,,,,,,,,,,,,
NRS Lothian Bioresource,21.12110/1.FA4F-B257-34AD,,NRS Lothian Bioresource,,,,,,"The NRS Lothian Bioresource provides access to a wide range of characterised tissue collected in a healthcare setting for use in research.  This includes surplus material from diagnostic specimens and surgical procedures.  The Bioresource Lothian can  facilitate collection of the following material:        Pathology archive samples      Surplus diagnostic samples - such as blood, urine or other bodily fluids      Surplus diagnostic or surgical tissue      Bespoke collections of tissue",rie.tissuegovernance@luht.scot.nhs.uk,Biobank,,,,,,,,,,,United Kingdom of Great Britain and Northern Ireland (the),,,,,,,,,,,,,,,,,,,,,,,,,
Generation Scotland,21.12110/1.10D9-3F5B-E27C,,Generation Scotland,,,http://generationscotland.org/,,,"A collaboration between the Universities of Edinburgh, Glasgow, Dundee and Aberdeen, and NHS Scotland, to provide resources for genetic and medical research.",info@generationscotland.org,Biobank,,,,,,,,,,,United Kingdom of Great Britain and Northern Ireland (the),,,,,,,,,,,,,,,,,,,,,,,,,
TNT: Triple Negative breast cancer Trial,21.12110/1.B411-5AFE-448E,,TNT: Triple Negative breast cancer Trial,,,http://www.icr.ac.uk/our-research/our-research-centres/clinical-trials-and-statistics-unit,,,"TNT is a phase III, multi centre, randomised trial of carboplatin versus docetaxel in women with ER-, PgR- and HER2- metastatic or recurrent locally advanced breast cancer.  Patients will be randomised (1:1) to carboplatin or docetaxel and will cross over to the alternative treatment (docetaxel (if randomised to carboplatin) or carboplatin (if randomised to docetaxel)) on progression.  Trial Treatment: Group A:  Carboplatin AUC 6, q 3 weeks for 6 cycles (18 wks) Group B:  Docetaxel 100mg/m2, q 3 weeks for 6 cycles (18 wks) On evidence of disease progression, patients will cross over to the alternative treatment.",tnt-icrctsu@icr.ac.uk,Biobank,,,,,,,,,,,United Kingdom of Great Britain and Northern Ireland (the),,,,,,,,,,,,,,,,,,,,,,,,,
POETIC: Trial of perioperative endocrine therapy – individualising care,21.12110/1.3E0B-A783-7F94,,POETIC: Trial of perioperative endocrine therapy – individualising care,,,http://www.icr.ac.uk/our-research/our-research-centres/clinical-trials-and-statistics-unit,,,"Primary aim: To determine whether two weeks perioperative aromatase inhibitor (AI) therapy before and after surgery improves outcome compared with standard adjuvant therapy.  Eligibility: Postmenopausal women with ER/PgR positive invasive breast cancer.  Trial design: Phase III, multicentre, randomised trial  Target accrual: 4350 patients  Patients will be allocated in a 2:1 ratio to PERIOPERATIVE THERAPY with an AI for 4 weeks (two weeks before and two weeks after surgery) or NO PERIOPERATIVE THERAPY.  Group I: PERIOPERATIVE THERAPY with an AI Choice of AI is according to centre policy and may be either anastrozole (1mg/day) or letrozole (2.5mg/day)  Group II: NO PERIOPERATIVE THERAPY 4 weeks (two weeks before and two weeks after surgery)",poetic-icrctsu@icr.ac.uk,Biobank,,,,,,,,,,,United Kingdom of Great Britain and Northern Ireland (the),,,,,,,,,,,,,,,,,,,,,,,,,
Cambridge Blood and Stem Cell Biobank,21.12110/1.5F26-7A4D-B2EE,,Cambridge Blood and Stem Cell Biobank,,,http://www.haem.cam.ac.uk/cambridge-blood-and-stem-cell-biobank/,,,"Cambridge Blood and Stem Cell Biobank collects and curates blood and blood-product derived samples from normal individuals and patients with blood and related malignancies, with particular emphasis on accessibility to purified tumour and stem cell populations from these samples. Set up in 2009, by 2016 the bank already contains over 12,000 samples, 70% from patients enrolled on research studies and clinical trials, and the remainder from cord blood donors. We specialise in bespoke fresh specimen collections for research into clonal blood cell disorders, autoimmune disorders and normal blood cell development.",CBSB_admin@medschl.cam.ac.uk,Biobank,,,,,,,,,,,United Kingdom of Great Britain and Northern Ireland (the),,,,,,,,,,,,,,,,,,,,,,,,,
NICAM: Nilotinib treatment for c-KIT mutated advanced AMM,21.12110/1.335A-911A-92F0,,NICAM: Nilotinib treatment for c-KIT mutated advanced AMM,,,http://www.icr.ac.uk/our-research/our-research-centres/clinical-trials-and-statistics-unit,,,Phase II single arm study evaluating the activity of nilotinib in rare c-KIT mutated acral and mucosal melanoma (AMM). Entry into the trial is a 2 step process.  Patients presenting with AMM are first registered (Step 1) for screening including confirmation of c-KIT mutation status.  Eligible patients who proceed to study entry (step 2) commence treatment with nilotinib 400 mgs twice daily for as long as they continue to benefit from treatment.,nicam-icrctsu@icr.ac.uk,Biobank,,,,,,,,,,,United Kingdom of Great Britain and Northern Ireland (the),,,,,,,,,,,,,,,,,,,,,,,,,
EPHOS-B Trial,21.12110/1.2A5B-530C-38A8,,EPHOS-B Trial,,,http://www.icr.ac.uk/our-research/our-research-centres/clinical-trials-and-statistics-unit,,,"Effect of Perioperative AntiHER-2 Therapy on Early Breast Cancer Study – Biological Phase (EPHOS-B).  The EPHOS-B trial is a multicentre, three group, randomised controlled trial conducted in two parts.    Part 1 (protocol versions 1 to 4):   HER2+ patients were allocated in a 1:2:2 ratio to control, perioperative trastuzumab only or perioperative lapatinib only. This part of the trial will be superseded by Part 2 following the approval of amendment 5 by West Midlands - Edgbaston NRES Committee on 15/05/2013 and subsequently in each centre. Part 2 (Implemented from protocol version 5): HER2+ patients are allocated in a 1:1:2 ratio to control, perioperative trastuzumab only or the combination of lapatinib and trastuzumab. This part is now active.",ephos-b-icrctsu@icr.ac.uk,Biobank,,,,,,,,,,,United Kingdom of Great Britain and Northern Ireland (the),,,,,,,,,,,,,,,,,,,,,,,,,
CASPS: A Phase II trial of Cediranib in ASPS patients,21.12110/1.ED60-07F2-E76F,,CASPS: A Phase II trial of Cediranib in ASPS patients,,,http://www.icr.ac.uk/our-research/our-research-centres/clinical-trials-and-statistics-unit,,,"CASPS is a two-arm, randomised, double-blind, placebo-controlled, Phase II trial of cediranib in ASPS patients. The primary objective is to evaluate the efficacy of cediranib by measuring the percentage change in the sum of target marker lesion diameters from randomisation to week 24 compared to placebo. Secondary objectives include: progression-free survival, overall survival and safety and tolerability of cediranib in ASPS patients. Tissue markers of tumour response, circulating markers of angiogenesis, and changes in circulating endothelial cells/precursor cells in response to cediranib will be explored.  Thirty six patients with progressive, metastatic, histologically confirmed ASPS will be recruited. Patients will be randomised to 24 weeks of blinded cediranib or placebo, after which treatment will be unblinded and all patients offered open-label cediranib until objective disease progression, or death if sooner.",casps-icrctsu@icr.ac.uk,Biobank,,,,,,,,,,,United Kingdom of Great Britain and Northern Ireland (the),,,,,,,,,,,,,,,,,,,,,,,,,
RE-AKT,21.12110/1.BB4D-887C-D7D3,,RE-AKT,,,http://www.icr.ac.uk/our-research/our-research-centres/clinical-trials-and-statistics-unit,,,"A multicentre prospective, randomised, phase II interventional study in mCRPC patients previously treated with 1-2 lines of chemotherapy and at least 12 weeks of abiraterone with a safety run-in and single stage phase II expansion cohort",RE-AKT-icrctsu@icr.ac.uk,Biobank,,,,,,,,,,,United Kingdom of Great Britain and Northern Ireland (the),,,,,,,,,,,,,,,,,,,,,,,,,
